,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
343,Kaihua,23.3687,104.28,58.46,85,100,2.06,CN,1612698310
344,Samarai,-10.6167,150.6667,84.0,76,100,2.48,PG,1612698311
345,Fort Nelson,58.8053,-122.7002,-27.4,68,20,5.75,CA,1612698311
346,Santiago del Estero,-27.7951,-64.2615,73.0,66,0,7.0,AR,1612698088
347,San Cristobal,7.7669,-72.225,73.4,88,40,6.91,VE,1612698311
348,Mizdah,31.4451,12.9801,72.23,19,100,11.03,LY,1612698312
349,Fairbanks,64.8378,-147.7164,-2.2,77,90,1.72,US,1612698312
350,Husavik,66.0449,-17.3389,33.8,75,75,6.91,IS,1612698312
351,Tumbes,-3.5667,-80.4414,76.19,74,66,3.91,PE,1612698312
352,Uppsala County,60.0,17.75,21.0,93,90,11.5,SE,1612698266
353,Kavaratti,10.5669,72.642,81.93,64,0,9.37,IN,1612698313
